playerid,name,position,position_id,team,team_id,value,GW_1,GW_2,GW_3,GW_4,GW_5,GW_6,GW_7,GW_8,GW_9,GW_10,GW_11,GW_12,GW_13,GW_14,GW_15,GW_16,GW_17,GW_18,GW_19,GW_20,GW_21,GW_22,GW_23,GW_24,GW_25,GW_26,GW_27,GW_28,GW_29,GW_30,GW_31,GW_32,GW_33,GW_34,GW_35,GW_36,GW_37,GW_38
129,Callum Wilson,FWD,1,Newcastle,17,7.8,5,1,1,6,5,6,0,1,6,13,2,0,0,0,0,4,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,5,5,0,1
130,Calum Chambers,DEF,2,Aston Villa,18,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0
131,Calvin Bassey,DEF,2,Fulham,12,4.4,0,1,-2,0,1,0,0,1,1,2,2,1,1,0,6,6,0,0,1,1,0,0,0,0,1,10,6,2,6,0,1,2,7,1,2,5,0,1
132,Cameron Archer,FWD,1,Sheffield Utd,9,4.4,0,0,0,12,1,2,2,2,2,1,9,2,2,1,2,2,2,8,5,1,1,1,1,7,0,0,0,0,0,0,0,4,1,3,2,2,2,2
133,Cameron Peupion,MID,4,Brighton,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Caoimhin Kelleher,GK,3,Liverpool,14,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,3,5,0,9,3,0,2,3,2,0,0,0,0,0,0
135,Carlos Baleba,MID,4,Brighton,1,4.5,0,0,0,0,0,1,1,1,2,2,0,0,1,1,2,1,0,0,1,0,0,0,1,1,0,0,1,3,0,2,3,1,2,1,1,1,2,2
136,Carlos Henrique Casimiro,MID,4,Man Utd,6,5.4,3,2,7,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,1,2,3,0,4,2,1,2,2,2,2,3,5
137,Carlos Mendes Gomes,MID,4,Luton,13,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Carlos Vinícius Alves Morais,FWD,1,Fulham,12,4.7,0,0,0,0,7,1,1,2,1,0,1,0,0,1,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Carlton Morris,FWD,1,Luton,13,5.2,8,0,2,5,2,9,10,1,2,2,2,2,5,2,1,1,0,1,7,1,7,5,11,5,10,0,8,4,2,2,2,8,2,2,7,2,1,5
140,Carney Chukwuemeka,MID,4,Chelsea,8,4.3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
141,Cauley Woodrow,FWD,1,Luton,13,4.4,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,9,1,1,1,4,1,0,1,1,1,1
142,Cesare Casadei,MID,4,Chelsea,8,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,2,1,1,1
143,Charles Sagoe,MID,4,Arsenal,4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Charlie Goode,DEF,2,Brentford,3,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Charlie Taylor,DEF,2,Burnley,5,4.0,0,0,0,0,2,2,1,0,1,6,1,1,1,10,1,1,0,6,1,0,0,0,0,0,0,1,1,1,1,1,2,2,1,2,0,0,0,1
146,Cheick Doucouré,MID,4,Crystal Palace,11,4.9,3,1,2,2,2,2,3,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Cheikhou Kouyaté,MID,4,Nott'm Forest,16,4.8,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
148,Chiedozie Ogbene,FWD,1,Luton,13,4.9,1,0,1,1,1,2,4,2,8,2,2,2,5,1,1,0,0,1,1,1,2,8,5,2,11,0,2,7,2,0,0,0,0,0,0,0,1,8
149,Chris Basham,DEF,2,Sheffield Utd,9,3.9,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Chris Mepham,DEF,2,Bournemouth,10,4.3,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,2,0,0,0,0,0,0,0,0
151,Chris Richards,DEF,2,Crystal Palace,11,3.9,0,0,0,0,1,0,1,1,0,0,1,0,0,2,1,0,1,2,0,2,0,1,0,1,2,14,1,2,0,2,0,0,0,6,2,11,2,6
152,Chris Wood,FWD,1,Nott'm Forest,16,4.9,1,7,1,1,1,1,1,2,13,0,0,1,2,2,1,1,1,11,17,2,8,1,0,0,0,0,0,2,9,8,8,6,2,2,2,2,2,13
153,Christian Chigozie,DEF,2,Luton,13,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Christian Eriksen,MID,4,Man Utd,6,5.8,1,1,9,7,2,0,1,1,1,2,3,1,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,3,2,2,4
155,Christian Nørgaard,MID,4,Brentford,3,5.4,2,3,5,2,1,2,9,1,3,2,2,1,2,1,0,2,1,0,1,2,0,1,2,9,4,2,2,1,0,0,0,0,0,1,2,3,3,2
156,Christian Pulisic,MID,4,Chelsea,8,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Christopher Nkunku,FWD,1,Chelsea,8,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,8,1
158,Clément Lenglet,DEF,2,Aston Villa,18,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,5,1,6,0,2,1,1,0,1,0,0,0,0,0,0,0,0,-1
159,Cody Gakpo,FWD,1,Liverpool,14,7.2,2,2,1,1,6,1,7,0,0,1,1,2,1,1,2,1,1,2,5,5,4,1,1,1,17,0,2,1,0,0,8,1,1,5,2,12,6,2
160,Cole Palmer,MID,4,Chelsea,8,5.6,1,0,0,1,1,1,5,12,6,2,12,6,2,1,8,1,14,1,0,18,10,2,8,10,2,0,5,13,0,15,20,5,26,0,8,8,14,6
161,Connor Roberts,DEF,2,Burnley,5,4.3,1,0,1,0,1,2,5,0,-2,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Conor Bradley,DEF,2,Liverpool,14,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,0,0,4,0,8,2,0,4,0,1,1,0,0,0,0,1
163,Conor Coventry,MID,4,West Ham,2,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Conor Gallagher,MID,4,Chelsea,8,5.4,2,2,3,1,3,2,3,5,6,2,6,10,2,-2,0,2,2,1,1,2,3,1,2,15,2,0,1,6,0,1,7,5,3,2,15,8,3,2
165,Craig Dawson,DEF,2,Wolves,20,4.5,2,-1,5,1,1,2,2,1,2,1,0,1,0,1,8,2,1,7,0,14,5,2,1,1,2,7,1,0,0,0,0,0,0,0,0,0,0,0
166,Cristian Romero,DEF,2,Spurs,15,4.9,7,6,7,7,2,-2,1,8,8,4,-4,0,0,0,9,1,7,1,0,0,1,1,1,2,1,0,10,8,1,2,1,2,-1,0,8,0,2,6
167,Curtis Jones,MID,4,Liverpool,14,4.9,1,0,0,3,1,2,-2,0,0,0,0,0,1,0,1,4,1,2,1,9,3,2,2,2,1,0,0,0,0,0,1,0,1,2,0,0,1,1
168,Cédric Alves Soares,DEF,2,Arsenal,4,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
169,César Azpilicueta,DEF,2,Chelsea,8,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Daiki Hashioka,DEF,2,Luton,13,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,-1,2,-2,1,1,0,0,0
171,Dan Burn,DEF,2,Newcastle,17,4.5,2,2,1,0,6,12,6,1,6,0,1,0,0,0,0,0,14,2,0,1,4,2,-1,1,1,4,8,1,0,1,2,6,6,1,2,2,3,0
172,Dan Potts,DEF,2,Luton,13,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Dane Scarlett,FWD,1,Spurs,15,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
174,Dango Ouattara,MID,4,Bournemouth,10,4.7,0,0,0,0,3,1,1,1,1,0,0,1,0,1,0,1,0,2,3,1,0,0,1,1,1,1,1,14,0,1,3,1,2,3,6,2,2,1
175,Daniel Bentley,GK,3,Wolves,20,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
176,Daniel Castelo Podence,MID,4,Wolves,20,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Daniel Gore,MID,4,Man Utd,6,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Daniel Jebbison,FWD,1,Sheffield Utd,9,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
179,Daniel Muñoz,DEF,2,Crystal Palace,11,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2,7,1,4,0,2,2,0,6,7,2,13,1,10
180,Danilo dos Santos de Oliveira,MID,4,Nott'm Forest,16,5.3,2,2,2,1,0,0,0,0,0,0,0,1,2,0,1,1,1,1,2,2,8,2,1,1,3,2,0,2,0,0,5,1,9,2,2,5,2,2
181,Danny Ings,FWD,1,West Ham,2,5.6,1,0,1,1,1,1,0,0,1,1,0,0,2,0,0,0,1,0,0,0,10,1,0,0,1,0,0,7,0,1,0,0,2,1,0,1,1,1
182,Danny Welbeck,FWD,1,Brighton,1,5.7,2,1,1,0,7,2,0,1,1,0,0,0,0,0,0,0,1,8,5,2,2,2,3,5,6,2,0,1,0,6,1,2,2,2,1,2,9,2
183,Dara Costelloe,MID,4,Burnley,5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Dara O'Shea,DEF,2,Burnley,5,4.4,1,0,1,0,0,0,0,0,1,5,1,1,-1,8,2,1,1,6,0,4,2,1,1,6,0,1,0,1,2,7,6,-1,0,2,2,6,1,1
185,Darko Churlinov,MID,4,Burnley,5,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Darren Randolph,GK,3,Bournemouth,10,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Darwin Núñez Ribeiro,FWD,1,Liverpool,14,7.5,1,1,11,8,1,6,0,5,4,10,2,5,1,2,3,2,1,1,8,5,11,2,0,6,5,0,5,5,0,2,6,5,2,2,1,1,1,1
188,David Brooks,MID,4,Bournemouth,10,4.8,2,1,1,8,1,0,0,1,1,0,0,0,1,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,David Datro Fofana,FWD,1,Burnley,5,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,2,2,2,2,9,8,0,2,2,2,1,1,1,1,0
190,David Ozoh,MID,4,Crystal Palace,11,4.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
191,David Raya Martin,GK,3,Arsenal,4,5.0,0,0,0,0,8,2,6,6,2,6,2,3,0,2,1,2,6,2,6,1,8,2,2,6,6,2,6,0,0,5,6,6,1,16,1,6,5,2
192,Davinson Sánchez,DEF,2,Spurs,15,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Dean Henderson,GK,3,Crystal Palace,11,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,-2,2,0,1,0,0,0,0,0,3,3,1,9,5,2,6,3,6
194,Declan Rice,MID,4,Arsenal,4,5.4,2,3,2,10,3,1,3,3,9,6,2,2,3,2,9,1,3,1,2,2,6,2,1,17,3,6,8,9,0,3,1,3,2,11,6,14,3,1
195,Deivid Washington de Souza Eugênio,FWD,1,Chelsea,8,4.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
196,Dejan Kulusevski,MID,4,Spurs,15,6.9,2,3,8,1,10,2,2,3,3,3,7,2,2,12,1,2,14,1,1,0,0,1,1,2,9,0,2,6,2,1,1,1,1,0,3,2,3,16
197,Dele Alli,MID,4,Everton,7,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Demarai Gray,MID,4,Everton,7,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Denis Franchi,GK,3,Burnley,5,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Deniz Undav,FWD,1,Brighton,1,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Dermot Mee,GK,3,Man Utd,6,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Destiny Udogie,DEF,2,Spurs,15,4.8,1,5,12,5,2,0,1,6,1,0,-4,0,1,0,1,9,5,0,0,2,1,10,4,2,0,0,2,6,1,2,2,2,0,0,0,0,0,0
203,Detlef Esapa Osong,FWD,1,Nott'm Forest,16,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Devan Tanton,DEF,2,Fulham,12,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,Diego Carlos Santos Silva,DEF,2,Aston Villa,18,4.4,0,1,2,1,0,0,0,2,0,1,1,0,2,1,6,6,2,0,0,1,5,0,6,1,0,0,0,0,0,6,0,0,6,1,1,2,1,0
206,Diego Manuel Jadon da Silva Moreira,MID,4,Chelsea,8,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,Diogo Dalot Teixeira,DEF,2,Man Utd,6,5.1,0,1,1,1,1,6,2,2,11,1,6,6,12,2,1,1,3,0,1,0,1,1,6,7,2,1,1,6,0,2,3,1,1,1,2,0,3,15
208,Diogo Teixeira da Silva,MID,4,Liverpool,14,7.9,1,12,4,1,1,6,-2,0,3,6,3,8,1,0,0,0,0,0,6,7,19,8,2,7,4,0,0,0,0,0,0,0,1,12,0,0,0,0
209,Dion Pereira,MID,4,Luton,13,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,Divin Mubama,FWD,1,West Ham,2,4.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Divock Origi,FWD,1,Nott'm Forest,16,5.0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,4,2,2,2,1,1,1,1,1,0,0,0,0
212,Djed Spence,DEF,2,Spurs,15,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Djordje Petrovic,GK,3,Chelsea,8,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Dominic Calvert-Lewin,FWD,1,Everton,7,5.8,0,1,0,0,1,5,6,2,2,9,2,2,2,0,1,5,2,2,1,2,2,2,5,2,2,2,1,1,0,2,6,9,0,8,0,8,4,2
215,Dominic Dos Santos Martins,MID,4,Luton,13,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Dominic Sadi,MID,4,Bournemouth,10,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
217,Dominic Solanke,FWD,1,Bournemouth,10,6.8,7,5,2,7,2,6,2,1,7,2,2,13,2,6,2,7,0,17,6,2,2,8,2,4,12,2,2,8,0,7,2,2,7,8,2,2,6,1
218,Dominik Szoboszlai,MID,4,Liverpool,14,7.1,2,5,2,10,2,2,2,4,3,12,3,3,2,2,9,2,3,2,1,2,0,9,0,0,0,0,1,2,0,2,2,2,1,3,1,1,1,1
219,Donny van de Beek,MID,4,Man Utd,6,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Douglas Luiz Soares de Paulo,MID,4,Aston Villa,18,5.5,1,7,2,2,10,2,8,2,15,7,2,2,7,2,3,2,0,8,2,10,3,1,5,10,2,15,4,2,1,3,1,1,0,0,1,2,2,1
221,Dovydas Sasnauskas,DEF,2,Sheffield Utd,9,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Dwight McNeil,MID,4,Everton,7,5.4,0,0,0,1,2,5,2,3,1,3,2,2,2,8,14,3,6,2,5,1,1,3,2,2,8,2,2,2,0,5,1,3,2,16,3,2,3,5
223,Eberechi Eze,MID,4,Crystal Palace,11,6.1,3,2,2,8,1,3,6,0,0,0,4,6,1,0,0,0,1,1,2,9,2,14,0,0,0,0,8,1,0,5,2,2,10,14,0,3,8,18
224,Eddie Beach,GK,3,Chelsea,8,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,Eddie Nketiah,FWD,1,Arsenal,4,5.3,8,5,5,2,2,1,5,2,0,17,2,1,1,1,0,1,4,0,1,2,4,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0
226,Ederson Santana de Moraes,GK,3,Man City,19,5.5,6,6,2,3,2,6,1,1,0,7,2,1,2,1,4,2,0,0,2,6,1,1,2,7,11,9,2,0,0,0,0,0,2,7,1,2,13,0
227,Edson Álvarez Velázquez,MID,4,West Ham,2,5.0,0,1,1,2,1,1,2,2,5,1,0,2,1,2,1,0,3,3,3,3,0,3,2,0,2,1,9,1,1,0,0,2,2,2,2,1,0,0
228,Elijah Adebayo,FWD,1,Luton,13,4.8,2,0,2,2,1,1,8,2,5,1,1,1,0,1,6,7,0,2,2,6,2,17,6,5,0,0,0,0,0,0,0,0,0,0,1,9,2,2
229,Elijah Campbell,DEF,2,Everton,7,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,Ellery Balcombe,GK,3,Brentford,3,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,Elliot Anderson,MID,4,Newcastle,17,4.3,1,1,1,1,3,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,3,1,2,0,9,1
232,Elliot Thorpe,MID,4,Luton,13,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,Ellis Simms,FWD,1,Everton,7,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,Emerson Leite de Souza Junior,DEF,2,Spurs,15,4.4,8,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,5,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,-1,0,1
235,Emerson Palmieri dos Santos,DEF,2,West Ham,2,4.5,1,4,2,1,1,1,8,3,-1,0,0,1,2,2,1,0,7,9,6,6,1,2,1,-1,2,12,2,0,2,0,2,4,1,-2,1,-1,1,1
236,Emil Krafth,DEF,2,Newcastle,17,4.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,7,0,0,0,0,1,0,1,0,0,0,1,0,0,2,5,6,1,1,2,3,0
237,Emile Smith Rowe,MID,4,Arsenal,4,5.3,0,0,0,0,0,1,1,0,1,6,0,0,0,0,0,0,1,0,1,0,1,3,0,0,1,1,0,0,0,0,6,0,1,0,0,0,0,1
238,Emiliano Buendía Stati,MID,4,Aston Villa,18,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,Emiliano Marcondes,MID,4,Bournemouth,10,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Emiliano Martínez Romero,GK,3,Aston Villa,18,5.1,1,8,0,1,2,6,2,3,3,0,1,3,4,2,9,10,1,2,2,1,9,2,7,2,3,1,1,0,5,10,0,1,9,3,1,0,0,0
241,Emmanuel Dennis,FWD,1,Nott'm Forest,16,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Enes Ünal,FWD,1,Bournemouth,10,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,12,0,1,1,1,1,1,12,1,1,5
243,Enock Agyei,MID,4,Burnley,5,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Enso González,MID,4,Wolves,20,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
245,Enzo Fernández,MID,4,Chelsea,8,4.8,1,0,2,2,3,3,3,1,2,0,4,2,2,14,2,2,1,0,0,1,2,1,2,8,2,0,2,5,0,2,4,2,0,2,0,0,0,0
246,Eric Bailly,DEF,2,Man Utd,6,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Eric Dier,DEF,2,Spurs,15,4.2,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,Erling Haaland,FWD,1,Man City,19,14.1,13,2,4,20,6,6,2,2,8,16,1,16,7,7,2,0,0,0,0,0,0,1,5,13,10,5,6,2,0,2,0,8,10,0,5,21,15,2
249,Ethan Ampadu,DEF,2,Chelsea,8,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,Ethan Brierley,MID,4,Brentford,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,Ethan Horvath,GK,3,Nott'm Forest,16,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,Ethan Nwaneri,MID,4,Arsenal,4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,Ethan Pinnock,DEF,2,Brentford,3,4.5,1,7,2,1,2,1,2,1,7,15,1,1,2,2,1,2,1,0,0,1,1,1,1,6,0,0,0,0,0,0,0,0,1,7,2,6,2,0
254,Ethan Wheatley,FWD,1,Man Utd,6,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
255,Evan Ferguson,FWD,1,Brighton,1,5.9,5,1,2,17,1,1,1,1,2,8,2,0,5,2,1,2,1,0,4,1,1,1,2,1,1,2,2,1,0,1,0,0,0,0,0,0,0,0
256,Ezri Konsa Ngoyo,DEF,2,Aston Villa,18,4.5,0,6,2,1,2,7,1,2,6,2,1,1,2,1,8,6,1,2,0,0,6,1,1,0,0,0,1,1,2,15,0,1,6,2,1,2,1,0
257,Fabian Mrozek,GK,3,Liverpool,14,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Fabian Schär,DEF,2,Newcastle,17,5.3,2,2,1,0,7,6,7,1,7,5,5,1,2,6,1,0,1,2,0,0,1,17,0,7,3,0,12,1,0,1,2,7,13,1,1,0,0,1
